Nest,6/3/19,6/4/19,6/5/19,6/6/19,6/7/19,6/8/19,6/9/19,6/10/19,6/11/19,6/12/19,6/13/19,6/14/19,6/15/19,6/16/19,6/17/19,6/18/19,6/19/19,6/21/19,6/22/19,6/23/19,6/24/19,6/25/19,6/26/19,6/27/19,6/28/19,6/29/19,6/30/19,7/1/19,7/2/19,7/3/19,7/4/19,7/5/19,7/6/19,7/7/19,7/8/19,7/9/19,7/10/19,7/11/19,7/12/19,7/13/19,7/14/19,7/15/19,7/16/19,7/17/19,7/18/19,7/19/19,7/20/19,7/21/19,7/22/19,7/23/19,7/24/19,7/25/19,7/25/19
1,,YBRW,BWRY,YRYR,,"GRYW, GGRR",,"WYBR, WWRR",,"WYBR, BRYW, GYGY, RBYW",WWRR,WWRR,YWYW,,,"YRWG, BRWG, WWRR, SSGdGd, WBRY, RBWY","RYBW, WWRR","WWRR, RGBW, BRYW","RYBW, WWRR, WWYY","WWRR, WWYY","BRWG, RYBW, GYGY, WWYY, BRYW, RGBW","RWBY, RYBW",,,"WYWY, RWBY",,RRYY,RRYY,RRYY,RRYY,RRYY,RYRY,RYRY,"RRYY, WWYY",R?YG,RRYY,RRYY,"YYBB, RYRY",RRYY,RRYY,RRYY,RRYY,RRYY,RRYY,RRYY,,RRYY,RRYY,RRYY,RRYY,RRYY,RRYY,RRYY
2,,,,BRYW,"BYRW, WWRR, RBGW, WGRY, GYRW, RGBW, BBBB","BYRW, WWRR, BBBB, RGBW","WWRR, GRYW, BBBB, RGBW","GYRW, RGBW, BYBY","GGRR, BBBB, BYBY",BBBB,"BYRW, WBRY, BBBB, GRYW","WBRY, GRYW, BBBB, BRBR","BBBB, BGBG, GRYW",,"BBBB, GRWB","BGBG, BBBB, GRYW","RBGW, GRYW, BBBB","BGBG, YGWR, GRYW, BBBB","BGBG, GRYW, BBBB","BGBG, BBBB","BGBG, GRYW, BBBB","BGBG, GRYW, BBBB","GRYW, BGBG, BBBB","BGBG, RWBY, BBBB, GRYW","BGBG, GRYW, BBBB","GRYW, BGBG, BBBB","GRYW, BGBG, BBBB","GRYW, BGBG, BBBB","BGBG, BBBB, GRYW","BGBG, BBBB, GRYW","BGBG, GRYW, BBBB","BGBG, GRYW, BBBB","BGBG, GRYW, BBBB","BBBB, BGBG, GRYW","BGBG, GRYW, BBBB","GRYW, BGBG, BBBB","BGBG, GRYW, BBBB","BGBG, BBBB, GRYW","BGBG, BBBB","GRYW, BBBB, BGBG","BGBG, GRYW","BGBG, GRYW, BBBB","BGBG, GRYW, BBBB","BGBG, BBBB","BGBG, GRYW, BBBB","BBBB, BGBG","BGBG, GRYW, BBBB","BGBG, GRYW, BBBB","BGBG, GRYW, BBBB","BGBG, GRYW, BBBB","BBBB, BGBG","BGBG, GRYW, BBBB","BBBB, BGBG"
3,,"YWYW, YGBR",,GYRW,,,,RWYB,,,,RGYW,,,,,,,,,,,,,,,,,,GGRR,WWYY,WYWY,,BYBY,,,,,,,,,,,,,,,,,,,
4,GWGW,"WYWY, YRYR",,YYYY,,,,WRWR,WRWR,,,,"RWYB, RYWB",,"YYGG, GRYW",,,,BWBW,BWBW,BWBW,BWBW,,RWGY,RWGY,RWGY,RWGY,RWGY,,RWGY,RWGY,RWGY,RWGY,RWGY,RWGY,,RWGY,RWGY,RWGY,RWGY,RWGY,,RWGY,,,,,,,,,,
5,,,,RYBW,,"YWYW, BYBY, GRWB","WBGR, WGYR, YYBB","GGGG, YYGG, WBGR",WBGR,"YYGG, RYBW, WGRY, YRWG",,,,,"RBGW, YBGR, RWBY",,,"RWBY, YGBR, RGRG, BRWG, WBYR",,"WWWW, RYWB",,"BRYW, BRWG, GBGB, WWYY, YWYW, YYBB",,,"SSGdGd, RGRG",,,,,,BYBY,,,WBRY,"RWBY, BWBW",,GBGB,,,,,,,RWGY,,,,,,,,,
6,,,"YBRW, YRYR, RGBW","YBWR, YGWR, WYWY",,,,,,,BRWG,,,,,"YGRW, RWBY",,,,,,,SSGdGd,RGBW,"RG?W,BRYW, RYBW","RYBW, BRYW, RG?W","RG?W, BRYW, RYBW","RYBW, RG?W, BRYW","RYBW, BRYW, RG?W","RYBW, BRYW, WRBY, RG?W","RG?W, RYBW","RYBW, BRYW, WRBY, RG?W","RYBW, BRYW, RG?W","BRYW, RYBW, RG?W","BRYW, RYBW, RGBW","BRYW, RG?W, RYBW","BRYW, RYBW, RG?W","RYBW, BRYW","BRYW, RYBW, RG?W","RG?W, BRYW","RG?W, BRYW","BRYW, RYBW, RG?W","BRYW, RYBW, RG?W","BRYW, RYBW, RG?W","BRYW, RYBW, RG?W",BRYW,"BRYW, RYBW","BRYW, RYBW, RG?W","RYBW, RG?W","BRYW, RYBW, RG?W","BRYW, RYBW, RG?W","BRYW, RYBW",BRYW
7,,,,YBRW,,,,RYBW,,,YYGG,,"WRWR, WBGR",,,,WWWW,,,,,,,,,,,,,,,,,,,,,,,,GYGY,,,,,,,,,,,WRBY,
8,GRWB,,,,,,RWYB,YGWR,,,,,RGYW,,RGYW,RGYW,"RBWY, RGYW","RGYW, RRRR","YGWR, RGYW","RYBW, YGWR, RGYW","RGYW, YGWR","RGYW, YGWR","RGYW, YGWR","YGWR, RGYW","YGWR, RGYW","YGWR, RGYW","YGWR, RGYW","RGYW, YGWR",RGYW,"YGWR, RGYW","RGYW, YGWR","RGYW, YGWR","RGYW, YGWR","RGYW, YGWR","YGWR, RGYW","RGWY, YGWR","YGWR, RGYW","YGWR, RGYW","YGWR, RGYW","YGWR, RGYW",,"YGWR, RGYW",RGYW,RGYW,,RGYW,RGYW,"WYRG, RGYW",RGYW,RGYW,RGYW,RGYW,RGYW
9,WGRY,"BYBY, WGRY",,"RGBW, YYGG, RBGW","WBGR, YWYW, YGWR",WGBY,,"WGBY, RWBY, WYRG","WBGY, RGBW, WGRY, WYRG",RWYB,"WBYR, GYGY","WBYR, GYGY",,,WBRY,RWYB,"BRBR, RWYB","RWYB, BRBR",RWYB,"BRBR, RWYB","BRBR, RWYB",RWYB,"RWYB, BRBR","RWYB, BRBR","RWYB, BRBR","RWYB, BRBR","WYBR, RWYB, BRBR","RWYB, WYBR, BRBR","RWYB, WYBR","RWYB, WYBR","RWYB, BRBR, WYBR","BRBR, RWYB","RWYB, WYBR","RWYB, WYBR, BRBR","WYBR, RWYB, BRBR","RWYB, WYBR, BRBR","RWYB, WYBR","BRBR, WYBR, RWYB","RWYB, BRBR, WYBR, WRWR","RWYB, BRBR, WYBR","RWYB, WYBR, BRBR","RWYB, WYBR, BRBR","RWYB, BRBR, WYBR","RWYB, BRBR, WYBR","RWYB, WYBR","WYBR, RWYB","WYBR, RWYB","RWYB, WYBR","RWYB, WBRY","RWYB, WBRY","RWYB, WBRY","RWYB, WBRY","RWYB, WBRY"
10,BYRW,,,,,,,,,WWWW,,,,,,,,,,"YWBR, RBWY",,,YRYR,YRYR,YRYR,YRYR,YRYR,YRYR,YRYR,,,,YWYW,YRYR,,,,WWYY,,,,,YRYR,"RWYB, BRBR, WYBR",,,,,,,,,
11,,,,,"BBRR, GGRR","YRWG, YRYR",,,RRRR,"YRYR, RGBW","GGRR, GRWB",GGRR,YGWR,,,"RWRW, WRBY",,,"RBWY, WYRG",BRYW,"BWRY, RBWY",,,GYRW,,GGRR,,"BRWG, WYRG",,,,,,,,,,GYGY,,,RYW?,,,,,,,,,,,,
12,,RGBW,,,,,,,,,,,,,YYBB,,BRYW,,,,,,RBWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,"RWBY, WWWW","RWBY, WWWW",YRYR,,,,,,,BRWG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"RWRW, GGWW, BYBY",GGWW,GGWW,GGWW,GGWW,GGWW,GGWW,GGWW,GGWW,GGWW,GGWW,GGWW,GGWW,,"BRWG, BRYW, GGWW",GGWW,GGWW,GGWW,GGWW,GGWW,,GGWW,GGWW,GGWW,GGWW,"YWYW, GGWW",,GGWW,GGWW,,GGWW,GGWW,GGWW,GGWW,GGWW,GGWW,GGWW,GGWW,GGWW,GGWW,GGWW,GGWW,GGWW,GGWW,GGWW,,,,,,,,
15,,RYRY,,,"WBYR, GGGG",,"RRRR, GYRW, YYGG, YWYW, GYGY","GYGY, RRRR",RWYB,,,,,,"YYYY, WGRY, RWYB",,,YRYR,,,GRWB,RYWB,WBRY,,,,,,,,,,,"YYBB, WRWR, WBGR",,,GYGY,,,,,,,,GGRR,,,,,,,,
16,"YRBW, WGWG","WBYR, WGWG",WGWG,WGWG,"BRYW, WGWG","WGWG, RBRB","WGWG, RBRB","WGWG, RBRB","WGWG, RBRB","WGWG, RBRB","WGWG, RBRB","WGWG, RBRB","WGWG, RBRB",,"WGWG, RBRB","WGWG, RBRB","WGWG, RBRB","WGWG, RBRB","WGWG, RBRB","WGWG, RBRB","WGWG, RBRB","RBRB, WGWG","WGWG, RBRB","RBRB, WGWG","WGWG, RBRB","WGWG, RBRB","WGWG, RBRB","WGWG, RBRB",WGWG,"WGWG, RBRB","WGWG, RBRB","RBRB, WGWG","WGWG, RBRB","WGWG, RBRB","RBRB, WGWG","WGWG, RBRB","RBRB, WGWG","WGWG, RBRB","WGWG, RBRB","WGWG, RBRB","WGWG, RBRB","WGWG, RBRB","WGWG, RBRB","WGWG, RBRB","WGWG, RBRB",WGWG,WGWG,WGWG,WGWG,WGWG,WGWG,WGWG,WGWG
